"country","variable","value"
"Qatar","women15_24",7.4
"Qatar","women25_34",6.72
"Qatar","women35_44",5.99
"Qatar","women45_54",4.99
"Qatar","women55_64",3.13
"Qatar","women65_plus",0.98
"Qatar","men15_24",5.88
"Qatar","men25_34",5.74
"Qatar","men35_44",5.7
"Qatar","men45_54",5.32
"Qatar","men55_64",4.94
"Qatar","men65_plus",3.13
"Romania","gdp",13.3
"Romania","women15_24",10
"Romania","women25_34",10.4
"Romania","women35_44",9.51
"Romania","women45_54",8.27
"Romania","women55_64",6.87
"Romania","women65_plus",5.42
"Romania","men15_24",10.1
"Romania","men25_34",10.8
"Romania","men35_44",10.4
"Romania","men45_54",9.6
"Romania","men55_64",8.41
"Romania","men65_plus",7.17
"Russia","gdp",21.5
"Russia","women15_24",10.2
"Russia","women25_34",11.3
"Russia","women35_44",11
"Russia","women45_54",10
"Russia","women55_64",8.36
"Russia","women65_plus",6.01
"Russia","men15_24",10.1
"Russia","men25_34",11.1
"Russia","men35_44",10.9
"Russia","men45_54",10.3
"Russia","men55_64",9.03
"Russia","men65_plus",7.38
"Rwanda","gdp",0.937
"Rwanda","women15_24",3.22
"Rwanda","women25_34",2.66
"Rwanda","women35_44",1.64
"Rwanda","women45_54",0.87
"Rwanda","women55_64",0.43
"Rwanda","women65_plus",0.19
"Rwanda","men15_24",3.57
"Rwanda","men25_34",3.7
"Rwanda","men35_44",3.07
"Rwanda","men45_54",2.33
"Rwanda","men55_64",1.71
"Rwanda","men65_plus",0.98
"Saudi Arabia","gdp",41.4
"Saudi Arabia","women15_24",6.58
"Saudi Arabia","women25_34",5.18
"Saudi Arabia","women35_44",2.72
"Saudi Arabia","women45_54",1.23
"Saudi Arabia","women55_64",0.65
"Saudi Arabia","women65_plus",0.29
"Saudi Arabia","men15_24",8.35
"Saudi Arabia","men25_34",8.97
"Saudi Arabia","men35_44",7.52
"Saudi Arabia","men45_54",5.42
"Saudi Arabia","men55_64",3.29
"Saudi Arabia","men65_plus",1.65
"Sudan","gdp",1.73
"Sudan","women15_24",3.94
"Sudan","women25_34",2.8
"Sudan","women35_44",1.45
"Sudan","women45_54",0.74
"Sudan","women55_64",0.34
"Sudan","women65_plus",0.17
"Sudan","men15_24",5.66
"Sudan","men25_34",5.38
"Sudan","men35_44",4.14
"Sudan","men45_54",2.9
"Sudan","men55_64",1.82
"Sudan","men65_plus",1.16
"Senegal","gdp",2.3
"Senegal","women15_24",2.06
"Senegal","women25_34",1.44
"Senegal","women35_44",0.95
"Senegal","women45_54",0.62
"Senegal","women55_64",0.28
"Senegal","women65_plus",0.1
"Senegal","men15_24",3.04
"Senegal","men25_34",2.85
"Senegal","men35_44",2.5
"Senegal","men45_54",1.95
"Senegal","men55_64",1.26
"Senegal","men65_plus",0.63
"Singapore","gdp",37.3
"Singapore","women15_24",9.61
"Singapore","women25_34",8.72
"Singapore","women35_44",7.16
"Singapore","women45_54",4.39
"Singapore","women55_64",2.48
"Singapore","women65_plus",1.28
"Singapore","men15_24",9.28
"Singapore","men25_34",9.71
"Singapore","men35_44",8.99
"Singapore","men45_54",6.65
"Singapore","men55_64",4.96
"Singapore","men65_plus",3.49
"Solomon Islands","gdp",2.07
"Solomon Islands","women15_24",4.82
"Solomon Islands","women25_34",3.73
"Solomon Islands","women35_44",2.78
"Solomon Islands","women45_54",2.07
"Solomon Islands","women55_64",1.59
"Solomon Islands","women65_plus",1.02
"Solomon Islands","men15_24",5.86
"Solomon Islands","men25_34",5.23
"Solomon Islands","men35_44",4.42
"Solomon Islands","men45_54",3.66
"Solomon Islands","men55_64",2.78
"Solomon Islands","men65_plus",2.05
"Sierra Leone","gdp",1.46
"Sierra Leone","women15_24",1.91
"Sierra Leone","women25_34",1.12
"Sierra Leone","women35_44",0.9
"Sierra Leone","women45_54",0.6
"Sierra Leone","women55_64",0.37
"Sierra Leone","women65_plus",0.3
"Sierra Leone","men15_24",3.18
"Sierra Leone","men25_34",2.58
"Sierra Leone","men35_44",2.28
"Sierra Leone","men45_54",1.88
"Sierra Leone","men55_64",1.37
"Sierra Leone","men65_plus",0.83
"El Salvador","gdp",5.26
"El Salvador","women15_24",5.83
"El Salvador","women25_34",5.36
"El Salvador","women35_44",4.26
"El Salvador","women45_54",3.81
"El Salvador","women55_64",3.23
"El Salvador","women65_plus",2.6
"El Salvador","men15_24",5.86
"El Salvador","men25_34",5.89
"El Salvador","men35_44",5.37
"El Salvador","men45_54",4.77
"El Salvador","men55_64",3.95
"El Salvador","men65_plus",3.1
"Serbia","gdp",NA
"Serbia","women15_24",7.39
"Serbia","women25_34",8.82
"Serbia","women35_44",8.45
"Serbia","women45_54",7.42
"Serbia","women55_64",6.17
"Serbia","women65_plus",3.93
"Serbia","men15_24",7.65
"Serbia","men25_34",9
"Serbia","men35_44",9.01
"Serbia","men45_54",8.6
"Serbia","men55_64",8
"Serbia","men65_plus",6.69
"Sao Tome and Principe","gdp",NA
"Sao Tome and Principe","women15_24",3.81
"Sao Tome and Principe","women25_34",3.26
"Sao Tome and Principe","women35_44",2.11
"Sao Tome and Principe","women45_54",1.12
"Sao Tome and Principe","women55_64",0.53
"Sao Tome and Principe","women65_plus",0.33
"Sao Tome and Principe","men15_24",4.46
"Sao Tome and Principe","men25_34",4.65
"Sao Tome and Principe","men35_44",4
"Sao Tome and Principe","men45_54",3.05
"Sao Tome and Principe","men55_64",2.09
"Sao Tome and Principe","men65_plus",1.47
"Suriname","gdp",12.5
"Suriname","women15_24",6.09
"Suriname","women25_34",6.15
"Suriname","women35_44",5.61
"Suriname","women45_54",4.79
"Suriname","women55_64",3.79
"Suriname","women65_plus",3.14
"Suriname","men15_24",6.08
"Suriname","men25_34",6.61
"Suriname","men35_44",6.5
"Suriname","men45_54",6.12
"Suriname","men55_64",5.2
"Suriname","men65_plus",3.74
"Slovak Republic","gdp",NA
"Slovak Republic","women15_24",8.26
"Slovak Republic","women25_34",10.5
"Slovak Republic","women35_44",9.82
"Slovak Republic","women45_54",8.7
"Slovak Republic","women55_64",7.41
"Slovak Republic","women65_plus",5.17
"Slovak Republic","men15_24",8.64
"Slovak Republic","men25_34",10.7
"Slovak Republic","men35_44",10.4
"Slovak Republic","men45_54",10
"Slovak Republic","men55_64",9.32
"Slovak Republic","men65_plus",7.84
"Slovenia","gdp",22.1
"Slovenia","women15_24",8.83
"Slovenia","women25_34",10.2
"Slovenia","women35_44",9.26
"Slovenia","women45_54",8.32
"Slovenia","women55_64",6.8
"Slovenia","women65_plus",5.58
"Slovenia","men15_24",8.56
"Slovenia","men25_34",10.2
"Slovenia","men35_44",9.73
"Slovenia","men45_54",9.45
"Slovenia","men55_64",8.67
"Slovenia","men65_plus",7.57
"Sweden","gdp",34.7
"Sweden","women15_24",11.5
"Sweden","women25_34",11.7
"Sweden","women35_44",11.2
"Sweden","women45_54",10.2
"Sweden","women55_64",8.7
"Sweden","women65_plus",7.32
"Sweden","men15_24",11.2
"Sweden","men25_34",11.6
"Sweden","men35_44",11.1
"Sweden","men45_54",10.2
"Sweden","men55_64",9.01
"Sweden","men65_plus",7.97
"Eswatini","gdp",5.14
"Eswatini","women15_24",6.12
"Eswatini","women25_34",5.94
"Eswatini","women35_44",4.84
"Eswatini","women45_54",3.48
"Eswatini","women55_64",2.33
"Eswatini","women65_plus",1.19
"Eswatini","men15_24",5.96
"Eswatini","men25_34",6.16
"Eswatini","men35_44",5.37
"Eswatini","men45_54",4.36
"Eswatini","men55_64",3.14
"Eswatini","men65_plus",1.99
"Seychelles","gdp",14.6
"Seychelles","women15_24",7.39
"Seychelles","women25_34",7.49
"Seychelles","women35_44",6.65
"Seychelles","women45_54",5.49
"Seychelles","women55_64",4.38
"Seychelles","women65_plus",3.82
"Seychelles","men15_24",7.49
"Seychelles","men25_34",7.89
"Seychelles","men35_44",6.92
"Seychelles","men45_54",5.83
"Seychelles","men55_64",4.66
"Seychelles","men65_plus",4.07
"Chad","gdp",1
"Chad","women15_24",1.2
"Chad","women25_34",0.72
"Chad","women35_44",0.47
"Chad","women45_54",0.22
"Chad","women55_64",0.07
"Chad","women65_plus",0.05
"Chad","men15_24",2.88
"Chad","men25_34",2.69
"Chad","men35_44",1.96
"Chad","men45_54",1.45
"Chad","men55_64",0.74
"Chad","men65_plus",0.26
"Togo","gdp",1.35
"Togo","women15_24",2.98
"Togo","women25_34",1.98
"Togo","women35_44",1.52
"Togo","women45_54",0.86
"Togo","women55_64",0.38
"Togo","women65_plus",0.17
"Togo","men15_24",4.61
"Togo","men25_34",4.49
"Togo","men35_44",3.97
"Togo","men45_54",3.1
"Togo","men55_64",2
"Togo","men65_plus",1
"Thailand","gdp",7.11
"Thailand","women15_24",7.34
"Thailand","women25_34",6.23
"Thailand","women35_44",5.09
"Thailand","women45_54",4.19
"Thailand","women55_64",3.38
"Thailand","women65_plus",2.32
"Thailand","men15_24",7.58
"Thailand","men25_34",6.73
"Thailand","men35_44",5.91
"Thailand","men45_54",5.23
"Thailand","men55_64",4.52
"Thailand","men65_plus",3.74
"Tajikistan","gdp",3.87
"Tajikistan","women15_24",8.02
"Tajikistan","women25_34",8.96
"Tajikistan","women35_44",8.2
"Tajikistan","women45_54",6.96
"Tajikistan","women55_64",5.46
"Tajikistan","women65_plus",3.27
"Tajikistan","men15_24",9.28
"Tajikistan","men25_34",10
"Tajikistan","men35_44",9.62
"Tajikistan","men45_54",9.36
"Tajikistan","men55_64",7.63
"Tajikistan","men65_plus",5.47
"Turkmenistan","gdp",7.21
"Turkmenistan","women15_24",9.58
"Turkmenistan","women25_34",10.1
"Turkmenistan","women35_44",9.38
"Turkmenistan","women45_54",7.61
"Turkmenistan","women55_64",5.71
"Turkmenistan","women65_plus",3.62
"Turkmenistan","men15_24",9.65
"Turkmenistan","men25_34",10.5
"Turkmenistan","men35_44",10.4
"Turkmenistan","men45_54",9.12
"Turkmenistan","men55_64",7.12
"Turkmenistan","men65_plus",5.26
"Timor-Leste","gdp",NA
"Timor-Leste","women15_24",4.85
"Timor-Leste","women25_34",3.54
"Timor-Leste","women35_44",1.75
"Timor-Leste","women45_54",0.61
"Timor-Leste","women55_64",0.19
"Timor-Leste","women65_plus",0.13
"Timor-Leste","men15_24",5.4
"Timor-Leste","men25_34",4.93
"Timor-Leste","men35_44",3.63
"Timor-Leste","men45_54",1.81
"Timor-Leste","men55_64",0.68
"Timor-Leste","men65_plus",0.32
"Tonga","gdp",3.94
"Tonga","women15_24",8.82
"Tonga","women25_34",8.85
"Tonga","women35_44",7.98
"Tonga","women45_54",6.69
"Tonga","women55_64",6.03
"Tonga","women65_plus",5.25
"Tonga","men15_24",8.73
"Tonga","men25_34",9.11
"Tonga","men35_44",8.57
"Tonga","men45_54",7.59
"Tonga","men55_64",6.86
"Tonga","men65_plus",6.17
"Trinidad and Tobago","gdp",10.1
"Trinidad and Tobago","women15_24",10.3
"Trinidad and Tobago","women25_34",9.35
"Trinidad and Tobago","women35_44",8.16
"Trinidad and Tobago","women45_54",6.84
"Trinidad and Tobago","women55_64",5.77
"Trinidad and Tobago","women65_plus",4.89
"Trinidad and Tobago","men15_24",9.88
"Trinidad and Tobago","men25_34",9.16
"Trinidad and Tobago","men35_44",8.31
"Trinidad and Tobago","men45_54",7.49
"Trinidad and Tobago","men55_64",6.65
"Trinidad and Tobago","men65_plus",5.64
"Tunisia","gdp",5.43
"Tunisia","women15_24",5.6
"Tunisia","women25_34",4.04
"Tunisia","women35_44",2.49
"Tunisia","women45_54",1.78
"Tunisia","women55_64",0.79
"Tunisia","women65_plus",0.3
"Tunisia","men15_24",8.14
"Tunisia","men25_34",7.04
"Tunisia","men35_44",5.94
"Tunisia","men45_54",4.32
"Tunisia","men55_64",2.7
"Tunisia","men65_plus",1.37
"Turkey","gdp",12.7
"Turkey","women15_24",5.87
"Turkey","women25_34",4.94
"Turkey","women35_44",3.81
"Turkey","women45_54",2.97
"Turkey","women55_64",2.2
"Turkey","women65_plus",1.7
"Turkey","men15_24",7.39
"Turkey","men25_34",7.02
"Turkey","men35_44",6.07
"Turkey","men45_54",5.08
"Turkey","men55_64",3.97
"Turkey","men65_plus",2.96
"Tanzania","gdp",1.39
"Tanzania","women15_24",4.58
"Tanzania","women25_34",4.02
"Tanzania","women35_44",2.7
"Tanzania","women45_54",1.4
"Tanzania","women55_64",0.7
"Tanzania","women65_plus",0.4
"Tanzania","men15_24",4.95
"Tanzania","men25_34",5.26
"Tanzania","men35_44",4.67
"Tanzania","men45_54",3.68
"Tanzania","men55_64",2.38
"Tanzania","men65_plus",1.51
"Uganda","gdp",0.907
"Uganda","women15_24",4
"Uganda","women25_34",3.2
"Uganda","women35_44",2.37
"Uganda","women45_54",1.54
"Uganda","women55_64",0.88
"Uganda","women65_plus",0.51
"Uganda","men15_24",4.91
"Uganda","men25_34",5.18
"Uganda","men35_44",4.7
"Uganda","men45_54",4.11
"Uganda","men55_64",3.12
"Uganda","men65_plus",1.91
"Ukraine","gdp",15.8
"Ukraine","women15_24",9.32
"Ukraine","women25_34",10.6
"Ukraine","women35_44",10.5
"Ukraine","women45_54",9.43
"Ukraine","women55_64",7.96
"Ukraine","women65_plus",5.61
"Ukraine","men15_24",9.39
"Ukraine","men25_34",10.4
"Ukraine","men35_44",10.6
"Ukraine","men45_54",9.84
"Ukraine","men55_64",8.91
"Ukraine","men65_plus",7.07
"Uruguay","gdp",10.2
"Uruguay","women15_24",8.7
"Uruguay","women25_34",8.72
"Uruguay","women35_44",7.94
"Uruguay","women45_54",7.17
"Uruguay","women55_64",6.3
"Uruguay","women65_plus",5.44
"Uruguay","men15_24",8.11
"Uruguay","men25_34",8.22
"Uruguay","men35_44",7.67
"Uruguay","men45_54",7.05
"Uruguay","men55_64",6.33
"Uruguay","men65_plus",5.34
"United States","gdp",40.5
"United States","women15_24",12.2
"United States","women25_34",13.3
"United States","women35_44",13.2
"United States","women45_54",12.7
"United States","women55_64",12
"United States","women65_plus",11
"United States","men15_24",12.1
"United States","men25_34",13.4
"United States","men35_44",13.4
"United States","men45_54",13.1
"United States","men55_64",12.3
"United States","men65_plus",11.2
"Uzbekistan","gdp",3.42
"Uzbekistan","women15_24",8.82
"Uzbekistan","women25_34",9.49
"Uzbekistan","women35_44",9.34
"Uzbekistan","women45_54",8.4
"Uzbekistan","women55_64",6.73
"Uzbekistan","women65_plus",4.87
"Uzbekistan","men15_24",9.01
"Uzbekistan","men25_34",9.92
"Uzbekistan","men35_44",10.1
"Uzbekistan","men45_54",9.78
"Uzbekistan","men55_64",8.45
"Uzbekistan","men65_plus",6.42
"St. Vincent and the Grenadines","gdp",6.38
"St. Vincent and the Grenadines","women15_24",8.48
"St. Vincent and the Grenadines","women25_34",7.03
"St. Vincent and the Grenadines","women35_44",5.66
"St. Vincent and the Grenadines","women45_54",4.46
"St. Vincent and the Grenadines","women55_64",3.44
"St. Vincent and the Grenadines","women65_plus",2.62
"St. Vincent and the Grenadines","men15_24",7.73
"St. Vincent and the Grenadines","men25_34",6.89
"St. Vincent and the Grenadines","men35_44",6.04
"St. Vincent and the Grenadines","men45_54",5.23
"St. Vincent and the Grenadines","men55_64",4.49
"St. Vincent and the Grenadines","men65_plus",3.81
"Vietnam","gdp",1.67
"Vietnam","women15_24",6.32
"Vietnam","women25_34",5.96
"Vietnam","women35_44",5.48
"Vietnam","women45_54",4.5
"Vietnam","women55_64",3.05
"Vietnam","women65_plus",1.51
"Vietnam","men15_24",6.64
"Vietnam","men25_34",6.67
"Vietnam","men35_44",6.69
"Vietnam","men45_54",6.4
"Vietnam","men55_64",5.49
"Vietnam","men65_plus",3.93
"Vanuatu","gdp",2.81
"Vanuatu","women15_24",5.76
"Vanuatu","women25_34",5.2
"Vanuatu","women35_44",4.62
"Vanuatu","women45_54",3.74
"Vanuatu","women55_64",2.99
"Vanuatu","women65_plus",1.93
"Vanuatu","men15_24",6.15
"Vanuatu","men25_34",6.09
"Vanuatu","men35_44",5.74
"Vanuatu","men45_54",5.15
"Vanuatu","men55_64",4.17
"Vanuatu","men65_plus",3.07
"Samoa","gdp",4.07
"Samoa","women15_24",10.6
"Samoa","women25_34",8.93
"Samoa","women35_44",7.76
"Samoa","women45_54",7.04
"Samoa","women55_64",6.39
"Samoa","women65_plus",5.66
"Samoa","men15_24",9.58
"Samoa","men25_34",8.74
"Samoa","men35_44",7.9
"Samoa","men45_54",7.42
"Samoa","men55_64",7.05
"Samoa","men65_plus",6.35
"South Africa","gdp",10.3
"South Africa","women15_24",7.49
"South Africa","women25_34",7.62
"South Africa","women35_44",6.67
"South Africa","women45_54",5.65
"South Africa","women55_64",4.71
"South Africa","women65_plus",3.75
"South Africa","men15_24",7.3
"South Africa","men25_34",7.79
"South Africa","men35_44",7.24
"South Africa","men45_54",6.3
"South Africa","men55_64",5.28
"South Africa","men65_plus",4.27
"Zambia","gdp",2.19
"Zambia","women15_24",4.71
"Zambia","women25_34",4.45
"Zambia","women35_44",3.77
"Zambia","women45_54",2.27
"Zambia","women55_64",1.19
"Zambia","women65_plus",0.63
"Zambia","men15_24",5.51
"Zambia","men25_34",6.14
"Zambia","men35_44",6.05
"Zambia","men45_54",5.01
"Zambia","men55_64",3.45
"Zambia","men65_plus",2.26
"Zimbabwe","gdp",3.32
"Zimbabwe","women15_24",6.9
"Zimbabwe","women25_34",6.16
"Zimbabwe","women35_44",4.64
"Zimbabwe","women45_54",3.32
"Zimbabwe","women55_64",2.39
"Zimbabwe","women65_plus",1.47
"Zimbabwe","men15_24",7.33
"Zimbabwe","men25_34",7.74
"Zimbabwe","men35_44",6.63
"Zimbabwe","men45_54",5.2
"Zimbabwe","men55_64",4.05
"Zimbabwe","men65_plus",2.83
